date,max_temp,min_temp
2026-08-10,27.8,14.5
2026-08-11,27.6,14.4
2026-08-12,26.2,14.5
2026-08-13,25.2,14.7
2026-08-14,24.0,15.9
2026-08-15,22.2,15.8
2026-08-16,24.8,14.4
2026-08-17,24.5,15.0
